Date,Open,Close,OC2,OPC2
07/30/2018,1.16561,1.17052,6.28E-03,0.539403
07/31/2018,1.1705,1.16908,0.0049299,0.4229532
08/01/2018,1.16907,1.16595,-4.57E-03,-0.3904254
08/02/2018,1.16595,1.1584,-1.07E-02,-0.9135354
08/03/2018,1.1584,1.1567,-9.25E-03,-0.7933381
08/06/2018,1.15663,1.15533,-3.07E-03,-0.2650307
08/07/2018,1.15532,1.1598,-1.37E-03,-0.1184466
08/08/2018,1.1598,1.16097,5.64E-03,0.4881748
08/09/2018,1.16097,1.15267,1.17E-03,0.1008726
08/10/2018,1.15266,1.1409,-2.01E-02,-1.728723
08/13/2018,1.1371,1.14096,-1.18E-02,-1.021108
08/14/2018,1.14096,1.13434,-6.56E-03,-0.5749819
08/15/2018,1.13434,1.13447,-6.62E-03,-0.580207
08/16/2018,1.13444,1.13762,3.28E-03,0.2891482
08/17/2018,1.13758,1.14379,9.32E-03,0.8215308
08/20/2018,1.14371,1.14809,1.05E-02,0.9203454
08/21/2018,1.14804,1.15701,1.32E-02,1.155802
08/22/2018,1.15701,1.15962,1.15E-02,1.00428
08/23/2018,1.15961,1.15377,2.61E-03,0.225589
08/24/2018,1.15375,1.16205,-5.85E-03,-0.5044822
08/27/2018,1.16141,1.16778,1.40E-02,1.214286
08/28/2018,1.16773,1.16938,7.33E-03,0.6307767
08/29/2018,1.16939,1.17065,2.87E-03,0.2457623
08/30/2018,1.17063,1.16708,1.27E-03,0.1086093
08/31/2018,1.16709,1.15997,-1.07E-02,-0.9123102
09/03/2018,1.15961,1.16181,-0.00711,-0.6092127
09/04/2018,1.16169,1.15805,-1.92E-03,-0.1655305
09/05/2018,1.15802,1.16292,-3.76E-03,-0.3236415
09/06/2018,1.16291,1.16227,4.87E-03,0.4205395
09/07/2018,1.16219,1.1552,-7.72E-03,-0.6638457
09/10/2018,1.15483,1.15924,-7.07E-03,-0.6082877
09/11/2018,1.15916,1.16046,5.26E-03,0.4553316
09/12/2018,1.16047,1.16253,3.29E-03,0.2838013
09/13/2018,1.16253,1.16897,8.51E-03,0.7333294
